index,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
100721,2012-04-22,MountGambier,15.0,18.9,4.2,6.6,8.0,NNW,54.0,NNW,NW,24.0,31.0,73.0,64.0,1005.2,1003.7,4.0,5.0,17.3,17.6,Yes,Yes
30234,2008-03-30,Sydney,13.1,26.8,0.0,4.6,10.9,,,W,WNW,22.0,15.0,61.0,22.0,1013.0,1009.0,0.0,1.0,16.9,25.9,No,No
68427,2011-12-10,Melbourne,19.0,29.0,,11.0,5.6,N,59.0,N,N,39.0,22.0,50.0,38.0,1006.5,1003.4,,,24.2,27.2,,
28624,2013-03-27,Richmond,18.1,32.2,0.0,2.1,,NE,30.0,,NE,0.0,17.0,99.0,51.0,1019.2,1014.6,,,20.9,31.6,No,No
31173,2010-10-25,Sydney,13.9,19.6,14.0,1.2,5.4,SSW,50.0,SW,S,17.0,22.0,90.0,64.0,,1018.4,7.0,6.0,15.5,19.1,Yes,No
573,2010-06-27,Albury,0.6,11.9,0.2,,,W,22.0,SW,NW,2.0,11.0,99.0,54.0,1024.3,1021.8,1.0,2.0,2.8,11.5,No,No
120056,2015-11-22,PerthAirport,21.8,36.2,0.0,12.2,11.9,E,61.0,NNE,NW,31.0,30.0,14.0,12.0,1014.9,1013.2,6.0,0.0,31.2,33.4,No,No
43057,2010-04-25,Wollongong,17.7,22.3,,,,SSE,54.0,,S,,37.0,,80.0,1012.8,1014.3,,7.0,,17.0,,Yes
28966,2014-03-04,Richmond,18.4,25.7,2.6,1.2,,NE,24.0,,NNE,0.0,2.0,100.0,64.0,1026.5,1023.3,,,19.8,24.2,Yes,No
90691,2010-02-25,GoldCoast,22.0,27.9,16.6,,,SSE,61.0,SSE,S,31.0,30.0,77.0,78.0,1021.4,1020.9,,,25.3,23.8,Yes,Yes
141570,2015-06-23,Darwin,17.4,31.1,0.0,7.0,10.9,NNW,30.0,SSE,NW,11.0,17.0,65.0,41.0,1015.9,1012.2,1.0,4.0,24.0,30.6,No,No
114054,2015-12-08,Witchcliffe,11.8,21.8,0.0,,,W,31.0,SW,WSW,13.0,19.0,66.0,69.0,1020.4,1019.3,,,17.4,19.5,No,No
85342,2012-03-27,Brisbane,16.8,26.9,0.0,7.0,8.0,E,33.0,S,ESE,6.0,15.0,66.0,54.0,1021.6,1019.0,1.0,6.0,23.9,25.4,No,No
6334,2009-10-13,Cobar,9.1,23.8,0.6,4.6,10.1,WSW,69.0,WNW,NW,15.0,35.0,33.0,19.0,1007.6,1003.3,0.0,4.0,16.6,22.4,No,No
133967,2011-07-25,Launceston,-2.0,11.2,0.0,,,E,7.0,E,N,2.0,4.0,98.0,65.0,1017.7,1014.7,,,0.3,10.3,No,No
108591,2008-12-21,Albany,15.5,18.5,0.6,8.2,3.8,,,N,WSW,37.0,30.0,87.0,68.0,1011.9,1013.1,7.0,7.0,16.0,17.5,No,Yes
77309,2015-08-16,Portland,5.8,14.5,0.2,2.0,4.7,W,61.0,NNW,WNW,13.0,41.0,98.0,79.0,1025.8,1020.6,8.0,8.0,10.1,13.0,No,Yes
25459,2012-08-24,Penrith,10.5,19.4,4.8,,,WNW,56.0,N,WNW,20.0,28.0,46.0,31.0,,,,,13.6,18.6,Yes,No
73483,2013-05-21,Nhil,6.3,14.8,4.8,,,ENE,35.0,ENE,ENE,15.0,20.0,87.0,66.0,1017.8,1014.2,,,8.2,14.3,Yes,Yes
10039,2011-10-09,CoffsHarbour,11.5,22.9,5.8,2.4,10.3,NNE,33.0,SSW,NE,6.0,20.0,74.0,59.0,1009.8,1005.1,3.0,5.0,19.1,22.2,Yes,No
22268,2012-03-25,NorfolkIsland,20.2,23.6,0.6,3.2,7.8,SSE,50.0,SE,SE,26.0,24.0,59.0,55.0,1012.7,1012.6,2.0,6.0,22.1,22.3,No,No
126033,2015-04-19,SalmonGums,6.8,21.3,0.2,,,NE,37.0,NE,ENE,22.0,15.0,65.0,39.0,,,,,15.0,20.9,No,No
67031,2017-01-08,MelbourneAirport,26.0,34.7,0.0,16.4,10.7,N,63.0,N,SSE,28.0,28.0,36.0,58.0,1005.6,1007.1,7.0,6.0,28.1,24.6,No,No
1697,2013-10-22,Albury,16.0,26.2,2.8,,,NW,52.0,,ENE,0.0,24.0,81.0,60.0,1011.1,1007.4,,2.0,19.1,25.7,Yes,Yes
122067,2012-06-29,Perth,7.9,17.4,0.2,1.4,2.4,S,17.0,N,SW,6.0,2.0,84.0,59.0,1026.1,1024.2,7.0,7.0,11.1,17.0,No,No
48227,2015-04-22,Canberra,10.2,18.4,0.0,,,S,59.0,S,S,35.0,43.0,70.0,63.0,1018.9,1015.2,6.0,3.0,13.2,16.5,No,No
56194,2011-12-28,Ballarat,8.0,23.9,0.0,,,,,,,,,,,,,1.0,,,,No,No
93175,2017-03-13,GoldCoast,23.6,27.2,0.0,,,WNW,52.0,W,ESE,22.0,15.0,69.0,76.0,1014.5,1012.7,,,25.6,25.2,No,Yes
