null_limit,korelation_limit,missing_cat,insert_day,insert_Rainfall,tail_len,len_df,norma
0.38,0.87,mode,0,1,1.5,95461,0.4105079973778409
0.38,0.87,mode,0,1,1.75,98707,0.43157141617730344
0.38,0.87,mode,0,1,2.0,100853,0.4438379140048624
0.38,0.87,mode,0,1,2.25,102069,0.458081278976301
0.38,0.87,mode,0,1,2.5,102956,0.44662640089842853
0.38,0.87,mode,0,0,1.5,95461,0.4105079973778409
0.38,0.87,mode,0,0,1.75,98707,0.43157141617730344
0.38,0.87,mode,0,0,2.0,100853,0.4438379140048624
0.38,0.87,mode,0,0,2.25,102069,0.458081278976301
0.38,0.87,mode,0,0,2.5,102956,0.44662640089842853
0.38,0.87,mode,1,1,1.5,95461,0.4105079973778409
0.38,0.87,mode,1,1,1.75,98707,0.43157141617730344
0.38,0.87,mode,1,1,2.0,100853,0.4438379140048624
0.38,0.87,mode,1,1,2.25,102069,0.458081278976301
0.38,0.87,mode,1,1,2.5,102956,0.44662640089842853
0.38,0.87,mode,1,0,1.5,95461,0.4105079973778409
0.38,0.87,mode,1,0,1.75,98707,0.43157141617730344
0.38,0.87,mode,1,0,2.0,100853,0.4438379140048624
0.38,0.87,mode,1,0,2.25,102069,0.458081278976301
0.38,0.87,mode,1,0,2.5,102956,0.44662640089842853
0.38,0.73,mode,0,1,1.5,95479,0.38806514678523
0.38,0.73,mode,0,1,1.75,98708,0.4157180611440565
0.38,0.73,mode,0,1,2.0,100852,0.44122964019565536
0.38,0.73,mode,0,1,2.25,102068,0.463763484687358
0.38,0.73,mode,0,1,2.5,102955,0.4553939885045013
0.38,0.73,mode,0,0,1.5,95479,0.38806514678523
0.38,0.73,mode,0,0,1.75,98708,0.4157180611440565
0.38,0.73,mode,0,0,2.0,100852,0.44122964019565536
0.38,0.73,mode,0,0,2.25,102068,0.463763484687358
0.38,0.73,mode,0,0,2.5,102955,0.4553939885045013
0.38,0.73,mode,1,1,1.5,95479,0.38806514678523
0.38,0.73,mode,1,1,1.75,98708,0.4157180611440565
0.38,0.73,mode,1,1,2.0,100852,0.44122964019565536
0.38,0.73,mode,1,1,2.25,102068,0.463763484687358
0.38,0.73,mode,1,1,2.5,102955,0.4553939885045013
0.38,0.73,mode,1,0,1.5,95479,0.38806514678523
0.38,0.73,mode,1,0,1.75,98708,0.4157180611440565
0.38,0.73,mode,1,0,2.0,100852,0.44122964019565536
0.38,0.73,mode,1,0,2.25,102068,0.463763484687358
0.38,0.73,mode,1,0,2.5,102955,0.4553939885045013
0.38,0.68,mode,0,1,1.5,98867,0.31568030731742247
0.38,0.68,mode,0,1,1.75,101958,0.3320568860849706
0.38,0.68,mode,0,1,2.0,103899,0.344703964528955
0.38,0.68,mode,0,1,2.25,105030,0.3508232817778904
0.38,0.68,mode,0,1,2.5,105864,0.3488346161267217
0.38,0.68,mode,0,0,1.5,98867,0.31568030731742247
0.38,0.68,mode,0,0,1.75,101958,0.3320568860849706
0.38,0.68,mode,0,0,2.0,103899,0.344703964528955
0.38,0.68,mode,0,0,2.25,105030,0.3508232817778904
0.38,0.68,mode,0,0,2.5,105864,0.3488346161267217
0.38,0.68,mode,1,1,1.5,98867,0.31568030731742247
0.38,0.68,mode,1,1,1.75,101958,0.3320568860849706
0.38,0.68,mode,1,1,2.0,103899,0.344703964528955
0.38,0.68,mode,1,1,2.25,105030,0.3508232817778904
0.38,0.68,mode,1,1,2.5,105864,0.3488346161267217
0.38,0.68,mode,1,0,1.5,98867,0.31568030731742247
0.38,0.68,mode,1,0,1.75,101958,0.3320568860849706
0.38,0.68,mode,1,0,2.0,103899,0.344703964528955
0.38,0.68,mode,1,0,2.25,105030,0.3508232817778904
0.38,0.68,mode,1,0,2.5,105864,0.3488346161267217
0.38,0.66,mode,0,1,1.5,99429,0.11276051484813751
0.38,0.66,mode,0,1,1.75,102531,0.12260489019776653
0.38,0.66,mode,0,1,2.0,104475,0.12762001996344594
0.38,0.66,mode,0,1,2.25,105607,0.1342628696952995
0.38,0.66,mode,0,1,2.5,106441,0.12434831725220977
0.38,0.66,mode,0,0,1.5,99429,0.11276051484813751
